HS Code,Description,Status
2920.19.40,"Other aromatic thiophosphoric esters (phosphorothioates), their salts and their halogenated, sulfonated, nitrated or nitrosated derivatives",New (added in July)
2920.19.50,"Nonaromatic phosphorothioates, their salts and their halogenated, sulfonated, nitrated or nitrosated derivatives, nesoi",New (added in July)
2920.21.00,Dimethyl phosphite,New (added in July)
2920.22.00,Diethyl phosphite,New (added in July)
2920.23.00,Trimethyl phosphite,New (added in July)
2920.24.00,Triethyl phosphite,New (added in July)
2920.29.00,"Other phosphite esters, their salts and their halogenated, sulfonated, nitrated or nitrosated derivatives",New (added in July)
2920.30.00,Endosulfan (ISO),New (added in July)
2920.90.20,"Aromatic esters of other inorganic acids (excluding hydrogen halides), their salts and their derivatives, nesoi",New (added in July)
2921.11.00,"Methylamine, di- or trimethylamine, and their salts",New (added in July)
2921.14.00,"2-(N,N,-Diisopropylamino)ethyl chloride hydrochloride",New (added in July)
2921.30.30,"Cyclanic, cyclenic, cycloterpenic mono- or polyamines and their derivatives and salts, derived from any aromatic compound (excluding goods described in additional U.S. note 3 to section VI of the HTSUS)",New (added in July)
2921.41.10,Aniline,New (added in July)
2921.41.20,Aniline salts,New (added in July)
2921.42.65,"Aniline derivatives and their salts thereof, described in additional U.S. note 3 to section VI of the HTSUS",New (added in July)
2921.43.40,"Toluidines and their derivatives and salts thereof, described in additional U.S. note 3 to section VI of the HTSUS",New (added in July)
2921.45.60,"Aromatic monoamines and their derivatives and salts thereof, described in additional U.S. note 3 to section VI of the HTSUS, nesoi",New (added in July)
2921.45.90,Aromatic monoamines and their derivatives and salts thereof nesoi,New (added in July)
2921.59.40,"Aromatic polyamines and their derivatives and salts thereof, described in additional U.S. note 3 to section VI of the HTSUS",New (added in July)
2922.12.00,Diethanolamine and its salts,New (added in July)
2922.15.00,Triethanolamine,New (added in July)
2922.16.00,Diethylammonium perfluorooctane sulfonate,New (added in July)
2922.17.00,Methyldiethanolamine and ethyldiethanolamine,New (added in July)
2922.18.00,"2-(N,N-Diisopropylamino)ethanol",New (added in July)
2922.21.10,"1-Amino-8-hydroxy-3,6-naphthalenedisulfonic acid; and other specified aminohydroxynaphthalenesulfonic acids and their salts",New (added in July)
2922.21.25,"1-Amino-8-hydroxy-4,6-naphthalenedisulfonic acid, monosodium salts",New (added in July)
2922.21.40,"Aminohydroxynaphthalene sulfonic acids and their salts, described in additional U.S. note 3 to section VI of the HTSUS",New (added in July)
2922.21.50,"Aminohydroxynaphthalene sulfonic acids and their salts, nesoi",New (added in July)
2922.29.03,o-Anisidine; p-anisidine; and p-phenetidine,New (added in July)
2922.29.06,m-Nitro-p-anisidine and m-nitro-o-anisidine as fast color bases,New (added in July)
2922.29.08,"m-Nitro-p-anisidine and m-nitro-o-anisidine, nesoi",New (added in July)
2922.29.10,"2-Amino-6-chloro-4-nitrophenol and other specified amino-naphthols and amino-phenols, their ethers and esters; salts thereof",New (added in July)
2922.29.13,"o-Aminophenol; and 2,2-bis-[4-(4- aminophenoxy)phenyl]propane",New (added in July)
2922.29.15,m-Diethylaminophenol; m-dimethylaminophenol; 3- ethylamino-p-cresol; and 5-methoxy-m- phenylenediamine,New (added in July)
2922.29.20,"4-Chloro-2,5-dimethoxyaniline; and 2,4- dimethoxyaniline",New (added in July)
2922.29.26,Amino-naphthols and other amino-phenols and their derivatives used as fast color bases,New (added in July)
2922.29.29,"Photographic chemicals of amino-naphthols and - phenols, their ethers and esters, except those containing more than one oxygen function, and salts thereof, nesoi",New (added in July)
2922.39.05,"1-Amino-2,4-dibromoanthraquinone and 2-Amino-5- chlorobenzophenone",New (added in July)
2922.39.10,"2'-Amino aceto phenone and other specified aromatic amino-aldehydes, -ketones and -quinones, other than those with more than one oxygen function",New (added in July)
2922.39.14,2-Aminoanthraquinone,New (added in July)
2922.39.17,1-Aminoanthraquinone,New (added in July)
2922.42.10,Monosodium glutamate,New (added in July)
2922.43.10,"Anthranilic acid and its salts, described in additional U.S. note 3 to section VI of the HTSUS",New (added in July)
2922.43.50,"Anthranilic acid and its salts, nesoi",New (added in July)
2922.49.05,"(R)-α-Aminobenzeneacetic acid; and 2-amino-3- chlorobenzoic acid, methyl ester",New (added in July)
2922.49.43,Glycine (aminoacetic acid),New (added in July)
2922.49.60,"3-Aminocrotonic acid, methyl ester; and (R)-α- amino-1,4-cyclohexadiene-1-acetic acid",New (added in July)
2922.50.19,Aromatic guaiacol derivatives of amino-compounds with oxygen function,New (added in July)
2923.20.10,"Purified egg phospholipids, pharmaceutical grade meeting requirements of the U.S. FDA, for use in intravenous fat emulsion",New (added in July)
2923.30.00,Tetraethylammonium perfluorooctane sulfonate,New (added in July)
2923.40.00,Didecylmethylammonium perfluorooctane sulfonate,New (added in July)
2924.12.00,"Fluoroacetamide (ISO), monocrotophos (ISO) and phosphamidon (ISO)",New (added in July)
2924.21.20,"Aromatic ureines, their derivatives and salts thereof, described in additional U.S. note 3 to section VI of the HTSUS",New (added in July)
2924.21.45,"Aromatic ureines, their derivatives and salts thereof, nesoi",New (added in July)
2924.23.70,2-Acetamidobenzoic acid salts described in additional U.S. note 3 to section VI of the HTSUS,New (added in July)
2924.23.75,"2-Acetamidobenzoic acid salts, nesoi",New (added in July)
2924.24.00,Ethinamate (INN),New (added in July)
2924.25.00,Alachlor (ISO),New (added in July)
2924.29.05,"Biligrafin acid; 3,5-diacetamido-2,4,6-triiodobenzoic acid; and metrizoic acid",New (added in July)
2924.29.65,5-Bromoacetyl-2-salicylamide,New (added in July)
2925.29.10,"N'-(4-Chloro-o-tolyl)-N,N-dimethylformamidine; bunamidine hydrochloride; and pentamidine",New (added in July)
2925.29.18,"N,N'-Diphenylguanidine; 3-Dimethyl amino methyleneiminophenol hydrochloride; 1,3-Di-o- tolylguanidine; and N,N-Dimethyl-N'-[3- [[(methylamino) carbonyl]- oxy] phenyl] methanimidamide monohydro- chloride",New (added in July)
2925.29.70,Tetramethylguanidine,New (added in July)
