HS Code,Description,New or Existing,Applies To,Scope Limitation
1602.50.90,"Prepared or preserved meat of bovine animals, containing cereals or vegetables",Existing,All investigated economies (universal list),
1701.12.10,"Beet sugar, raw, in solid form, w/o added flavoring or coloring, subject to add. US 5 to Ch.17",New,All investigated economies (universal list),
1701.13.10,"Cane sugar, raw, specified in subheading 2 and subject to add'l note 5 to this chapter, in solid form, w/o added flavoring or coloring",New,All investigated economies (universal list),
1701.14.10,"Other cane sugar, raw, in solid form, w/o added flavoring or coloring, subject to add. US 5 to Ch.17",New,All investigated economies (universal list),
1701.91.10,"Cane/beet sugar & pure sucrose, refined, solid, w/added coloring but not flav., subject to add. US 5 to Ch.17",New,All investigated economies (universal list),
1701.99.10,"Cane/beet sugar & pure sucrose, refined, solid, w/o added coloring or flavoring, subject to add. US 5 to Ch.17",New,All investigated economies (universal list),
1702.90.10,"Cane/beet sugars & syrups (incl. invert sugar); nesoi, w/soluble non-sugar solids 6% or less soluble solids, subj Ch17 US note 5",New,All investigated economies (universal list),
1801.00.00,"Cocoa beans, whole or broken, raw or roasted",Existing,All investigated economies (universal list),
1802.00.00,"Cocoa shells, husks, skins and other cocoa waste",Existing,All investigated economies (universal list),
1803.10.00,"Cocoa paste, not defatted",Existing,All investigated economies (universal list),
1803.20.00,"Cocoa paste, wholly or partly defatted",Existing,All investigated economies (universal list),
1804.00.00,"Cocoa butter, fat and oil",Existing,All investigated economies (universal list),
1805.00.00,"Cocoa powder, not containing added sugar or other sweetening matter",Existing,All investigated economies (universal list),
1903.00.20,"Tapioca and substitutes prepared from starch, of arrowroot, cassava or sago, in the form of flakes, grains, pearls, siftings or in similar forms",Existing,All investigated economies (universal list),
1903.00.40,"Tapioca and substitutes, prepared from starch nesoi, in the form of flakes, grains, pearls, siftings or in similar forms",Existing,All investigated economies (universal list),
1905.90.10,"Bread, pastry, cakes, biscuits and similar baked products, nesoi, and puddings, whether or not containing chocolate, fruit, nuts or confectionery, for religious purposes only",Existing,All investigated economies (universal list),Ex
1905.90.90,"Bakers’ wares, communion wafers, sealing wafers, rice paper and similar products, nesoi, for religious purposes only",Existing,All investigated economies (universal list),Ex
2001.90.45,"Mangoes, prepared or preserved by vinegar or acetic acid",Existing,All investigated economies (universal list),
2005.91.60,"Bamboo shoots in airtight containers, prepared or preserved otherwise than by vinegar or acetic acid, not frozen, not preserved by sugar",Existing,All investigated economies (universal list),
2006.00.40,"Pineapples, preserved by sugar (drained, glacé or crystallized)",Existing,All investigated economies (universal list),
2007.99.40,Pineapple jam,Existing,All investigated economies (universal list),
2007.99.50,"Guava and mango pastes and purees, being cooked preparations",Existing,All investigated economies (universal list),
2008.19.15,"Coconuts, otherwise prepared or preserved, nesoi",Existing,All investigated economies (universal list),
2008.20.00,"Pineapples, otherwise prepared or preserved, nesoi",Existing,All investigated economies (universal list),
2008.30.35,Orange pulp,New,All investigated economies (universal list),
2008.91.00,"Palm hearts, otherwise prepared or preserved, nesoi",Existing,All investigated economies (universal list),
2008.99.13,"Banana pulp, otherwise prepared or preserved, nesoi",Existing,All investigated economies (universal list),
2008.99.15,"Bananas, other than pulp, otherwise prepared or preserved, nesoi",Existing,All investigated economies (universal list),
2008.99.21,Acai,Existing,All investigated economies (universal list),Ex
2008.99.40,"Mangoes, otherwise prepared or preserved, nesoi",Existing,All investigated economies (universal list),
2008.99.45,"Papaya pulp, otherwise prepared or preserved, nesoi",Existing,All investigated economies (universal list),
